Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	srr20755928_subsampled_R1	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/fastqc_raw/srr20755928_subsampled_R1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	srr20755928_subsampled_R2	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/fastqc_raw/srr20755928_subsampled_R2_raw_fastqc.zip
Adapter Removal	all_sections	srr20755928_subsampled_R1	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/adapter_removal/srr20755928_subsampled_R1.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	srr20755928_subsampled_R1	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/fastqc/srr20755928_subsampled_R1.fastq_L1.pe.combined_fastqc.zip
Bowtie 2 / HiSAT2	all_sections	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/mapping/bt2/ancient0003_bt2.log
Kraken	all_sections	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/kraken/ancient0003.unmapped.fastq.kraken2_report
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/flagstat_filtered/ancient0003_postfilterflagstat.stats
Picard	DuplicationMetrics	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/markdup/ancient0003_rmdup.metrics
Preseq	all_sections	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/preseq/ancient0003.filtered.preseq
DamageProfiler	all_sections	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/damageprofiler/dmgprof8/dmgprof.json
mtnucratio	all_sections	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/mutnucratio/ancient0003_rmdup.bam.mtnucratiomtnuc.json
QualiMap	genome_results	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/qualimap/qualimap8/ancient0003_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/qualimap/qualimap8/ancient0003_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	ancient0003	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/qualimap/qualimap8/ancient0003_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Bcftools	stats	ancient0003.freebayes	/working/srr20755928_eager_2024-08-20/work/cb/e8adfcf1795d2af8f58c71a401118d/bcftools_stats8
