Sample	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	Kraken_mqc-generalstats-kraken-Unclassified	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-4_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	QualiMap_mqc-generalstats-qualimap-mean_coverage	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	mtnucratio_mqc-generalstats-mtnucratio-nucreads	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	QualiMap_mqc-generalstats-qualimap-3_x_pc	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	DamageProfiler_mqc-generalstats-damageprofiler-median	QualiMap_mqc-generalstats-qualimap-2_x_pc	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	QualiMap_mqc-generalstats-qualimap-mapped_reads	mtnucratio_mqc-generalstats-mtnucratio-mtreads	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	Kraken_mqc-generalstats-kraken-Ralstonia_sp_RRA_1	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	QualiMap_mqc-generalstats-qualimap-general_error_rate	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	DamageProfiler_mqc-generalstats-damageprofiler-std	QualiMap_mqc-generalstats-qualimap-avg_gc	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	Kraken_mqc-generalstats-kraken-Top	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc
Momia1_S1_L001_R1_001					154	341311.0						149.04954132741108			1.3896913512171523				9.090909090909092						345034	162.9310594824234											50.54539701328114			39.0	10.217807219808327		151			511731.0							12.12768391585793	29.633384215568793									27.27272727272727		40.0
Momia1_S1_L001_R2_001						341311.0						149.18007330557762																															151										2.2579986971688584										9.090909090909092		41.0
Momia3_S2_L001_R1_001					154	329037.0						140.89751000647342			4.827380567938761				9.090909090909092						609100	166.89358835165163											92.55797980166365			63.0	6.854244355498014		151			336185.0							11.335477738373882	84.11911122457353									18.181818181818183		62.0
Momia3_S2_L001_R2_001						329037.0						141.65172001932913																															151										4.476392171269225										9.090909090909092		63.0
Momia5_S3_L001_R1_001					154	337651.0						145.6116670763599			2.2648156819545733				9.090909090909092						554498	177.0872439327473											82.11111473089078			62.0	0.9024110694178309		151			412831.0							3.093537320160081	75.9295840971891									9.090909090909092		62.0
Momia5_S3_L001_R2_001						337651.0						145.84397203029164																															151										2.2039755966106895										9.090909090909092		63.0
Momia6_S4_L001_R1_001					154	89961.0						142.79099832149487			1.186967258822591				9.090909090909092						166938	170.11647756370132											92.78353953379798			60.0	11.424950812018542		151			87871.0							12.2408599281911	79.4733273307322									18.181818181818183		59.0
Momia6_S4_L001_R2_001						89961.0						143.12402040884382																															151										1.4139460432854207										9.090909090909092		59.0
momia1	1828	2.967816091634401e-06	0.00922329497651793	162.70549242424264			77.59024755688827	0	6.48403298280994e-06	1803.0	N/A		0.0001			N/A	0.013676	0		N/A	N/A	100.0	0.0	1803			1.3129360318426098e-05	nan	151.0	5.464652673074646e-05	1828	0.0	N/A		1803.0	0		1828	0.00554016620498615			0.357219		N/A	511731			0.0	0.0	0.17807308448861842	N/A	0.26			N/A	0.357219	0.36	9.303458269862621e-05	41.16677508684136	42.52173913043479				4.392992392670762	
momia1.freebayes														575.0																				523.0													25.0														27.0	1.03			
momia3	5733	0.0	0.029543286578527447	171.75418144956785			78.36417997167516	0	4.548500749135331e-06	5480.0	N/A		0.0003			N/A	0.04413	0		N/A	N/A	100.0	0.0006640106241699867	5480			1.1258345825873976e-05	nan	151.0	0.0006860816590965264	5733	0.0037678975131876413	N/A		5480.0	0		5733	0.002136752136752137			1.705311		N/A	336185			0.0024271844660194173	0.0	2.4478592957524845	N/A	0.19			N/A	1.705311	1.71	0.00030246465439021434	44.97984854271398	49.38540772532189				3.8940602568602998	
momia3.freebayes														1562.0																				1436.0													82.0														42.0	1.37			
momia5	12714	0.00025078045974310685	0.0657270294032163	171.336210248039			74.08458026027387	0	0.0002628130184624507	12437.0	N/A		0.0007			N/A	0.021787	0		N/A	N/A	100.0	0.00247787610619469	12437			0.00028074895049450205	nan	151.0	0.0007548898300036588	12714	0.0006949270326615705	N/A		12437.0	0		12714	0.0017985611510791368			3.079711		N/A	412831			0.0	0.0	1.972423066253121	N/A	0.21			N/A	3.079711	3.08	0.0006855855176672945	41.69896768107771	46.45477815699661				6.363138781906293	
momia5.freebayes														3857.0																				3484.0													201.0														171.0	1.2			
momia6	2959	0.0	0.016373796225123163	176.57909008737525			75.73252308272093	0	0.0	2920.0	N/A		0.0002			N/A	0.01318	0		N/A	N/A	100.0	0.0	2920			6.451774112248697e-08	nan	156.0	8.896996500790953e-05	2959	0.0030627871362940277	N/A		2920.0	0		2959	0.0014534883720930232			3.367436		N/A	87871			0.0	0.0	2.179903900508762	N/A	0.18			N/A	3.367436	3.37	0.0001646354040302454	44.47877425139504	45.27955493741309				5.304315055586961	
momia6.freebayes														827.0																				739.0													54.0														34.0	1.36			
