Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1313909_1	0.6291945412265008	0.15594469573347047
SRR1313909_2	0.8232195463896855	0.21662061734010205
SRR1314212_1	0.0	0.10603558901569456
SRR1314212_2	0.0	0.0
SRR1314213_1	0.7150134479729839	0.17972002029470974
SRR1314213_2	0.6081047905335	0.14046039531039448
SRR1314214_1	0.0	0.0
SRR1314214_2	0.0	0.0
SRR1314599_1	0.2577599120681372	0.5235885135566453
SRR1314599_2	0.0	0.0
SRR1314600_1	0.4076494105240285	0.24296482008952805
SRR1314600_2	0.10746572655735934	0.1972026500711144
SRR1314601_1	2.2657301036431665	0.46887623765292386
SRR1314601_2	1.6638448338596374	0.41347043974373093
