Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR1314600_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314600_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314601_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314601_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314214_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314214_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314599_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314599_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314212_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314212_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314212_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314212_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1313909_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1313909_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314599_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314599_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314213_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314213_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314213_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314213_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314601_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314601_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314214_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314214_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1314600_2	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1314600_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1313909_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc_raw/SRR1313909_1_raw_fastqc.zip
Adapter Removal	all_sections	SRR1314601_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314601_1.fastq_L9.pe.settings
Adapter Removal	all_sections	SRR1314600_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314600_1.fastq_L8.pe.settings
Adapter Removal	all_sections	SRR1314599_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314599_1.fastq_L7.pe.settings
Adapter Removal	all_sections	SRR1313909_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1313909_1.fastq_L3.pe.settings
Adapter Removal	all_sections	SRR1314213_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314213_1.fastq_L5.pe.settings
Adapter Removal	all_sections	SRR1314212_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314212_1.fastq_L4.pe.settings
Adapter Removal	all_sections	SRR1314214_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/adapter_removal/SRR1314214_1.fastq_L6.pe.settings
FastQC (post-Trimming)	all_sections	SRR1314213_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc/SRR1314213_1.fastq_L5.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR1314601_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc/SRR1314601_1.fastq_L9.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR1314600_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc/SRR1314600_1.fastq_L8.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR1314214_1	/project/2024-11-29-ancient-eager/work/5e/2e276123c1086fd7d62b2dd5de7146/fastqc/SRR1314214_1.fastq_L6.pe.combined_fastqc.zip
