Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR1298755_1	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/fastqc_raw/SRR1298755_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR1298755_2	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/fastqc_raw/SRR1298755_2_raw_fastqc.zip
Adapter Removal	all_sections	SRR1298755_1	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/adapter_removal/SRR1298755_1.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR1298755_1	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/fastqc/SRR1298755_1.fastq_L1.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/flagstat/NA50precapture_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/flagstat_filtered/NA50precapture_postfilterflagstat.stats
Picard	DuplicationMetrics	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/markdup/NA50precapture_rmdup.metrics
Preseq	all_sections	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/preseq/NA50precapture.filtered.preseq
DamageProfiler	all_sections	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/damageprofiler/dmgprof8/dmgprof.json
QualiMap	genome_results	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/qualimap/qualimap8/NA50precapture_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/qualimap/qualimap8/NA50precapture_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/qualimap/qualimap8/NA50precapture_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Bcftools	stats	NA50precapture	/project/2024-12-02-chachapoya-precapture/work/66/1981297b20066b0f2550fb2f739be2/bcftools_stats8
