Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR20755928_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR20755928_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_2	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR20755928_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_2	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR21031366_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20458000_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR20458000_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR21031366_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20458000_2	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc_raw/SRR20458000_2_raw_fastqc.zip
Adapter Removal	all_sections	SRR21031366_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/adapter_removal/SRR21031366_1.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR20458000_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/adapter_removal/SRR20458000_1.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR20755928_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/adapter_removal/SRR20755928_1.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR20458000_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc/SRR20458000_1.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR21031366_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc/SRR21031366_1.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR20755928_1	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/fastqc/SRR20755928_1.fastq_L1.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0004	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/flagstat/ancient0004_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0002	/project/rcrs_20240902/work/89/9b5a63c4a8bf3870d7260a634ac9fb/flagstat/ancient0002_flagstat.stats
