Sample	QualiMap_mqc-generalstats-qualimap-1_x_pc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	QualiMap_mqc-generalstats-qualimap-3_x_pc	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	QualiMap_mqc-generalstats-qualimap-5_x_pc	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	mtnucratio_mqc-generalstats-mtnucratio-mtreads	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-mapped_reads	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	QualiMap_mqc-generalstats-qualimap-general_error_rate	DamageProfiler_mqc-generalstats-damageprofiler-std	QualiMap_mqc-generalstats-qualimap-4_x_pc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	DamageProfiler_mqc-generalstats-damageprofiler-median	QualiMap_mqc-generalstats-qualimap-2_x_pc	QualiMap_mqc-generalstats-qualimap-mean_coverage	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	QualiMap_mqc-generalstats-qualimap-avg_gc	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	mtnucratio_mqc-generalstats-mtnucratio-nucreads	QualiMap_mqc-generalstats-qualimap-median_coverage	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate
SRR20458000_1_filtered_lt105bp			28.377480465091708			65.07757643191063			1270837.0		98.79717068357311						66	67											99.15457293106826				10.0						32.50776383856065				0.0	65.67955346844234	2520186	47.0						48.0	0.35724487090004464			1277043.0						
SRR20458000_2_filtered_lt105bp						65.07757643191063			1270837.0								66																						30.526997592534144				0.0			48.0																
SRR20755928_1_filtered_lt105bp			22.62720238826381			65.42354971011113			4494136.0		98.18924037901834						68	67											98.66661801066991				10.0						29.505429527589257				0.0	66.26297282724283	8868424	42.0						42.0	0.47713286825320816			4532628.0						
SRR20755928_2_filtered_lt105bp						65.42354971011113			4494136.0								68																						26.387680952978172				0.0			42.0																
SRR21031366_1_filtered_lt105bp			30.045592028493573			65.0658649577863			1104973.0		98.68956074039818						64	67											98.97608357851277				10.0						36.74524382787866				0.0	65.81648062886019	2187318	43.0						43.0	0.28634183821686143			1113125.0						
SRR21031366_2_filtered_lt105bp						65.0658649577863			1104973.0								64																						34.75675501624217				0.0			43.0																
ancient0002	0.9053050878145935	N/A		0.0	0.00027		N/A	N/A		0.0		0	100.0	0.0	1113125	3			0		3.0	3.0	0.0	nan	3	0.0	0.00027	N/A		1.59	20.159365069366643	0.0			75.0	0.2353793228317943	0.0114	N/A		0.0	48.5						0.0	0.0	3	63.0	N/A			0.0				0.011406844106463879	3	0	N/A	N/A
ancient0002_lt105bp																				0.0														0.0								0.0													0.0		0.0					
ancient0003	7.6287042066509745	N/A		0.0	0.000552		N/A	N/A		0.0		0	100.0	0.0	4532629	25			0		23.0	23.0	0.041667	nan	25	0.0	0.000552	N/A		0.83	25.51411569441069	0.0			69.0	0.3500513006216428	0.0798	N/A		0.0	44.8695652173913						0.0	0.0	25	67.51162790697674	N/A			0.0				0.09807471784658096	24	0	N/A	N/A
ancient0003_lt105bp																				0.0														0.0								0.0													0.0		0.0					
ancient0004	0.4104049731426157	N/A		0.0	7.8e-05		N/A	N/A		0.0		0	100.0	0.0	1277043	1			0		1.0	1.0	0.0	nan	1	0.0	7.8e-05	N/A		4.41	0.0	0.0			68.0	0.0	0.0041	N/A		0.0	47.0						0.0	0.0	1	68.0	N/A			0.0				0.004104049731426157	1	0	N/A	N/A
ancient0004_lt105bp																				0.0														0.0								0.0													0.0		0.0					
