Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR20458000_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR20458000_1_filtered_lt105bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20458000_2_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR20458000_2_filtered_lt105bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR21031366_1_filtered_lt105bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_2_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR21031366_2_filtered_lt105bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_2_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR20755928_2_filtered_lt105bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc_raw/SRR20755928_1_filtered_lt105bp_raw_fastqc.zip
Adapter Removal	all_sections	SRR20755928_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/adapter_removal/SRR20755928_1_filtered_lt105bp.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR21031366_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/adapter_removal/SRR21031366_1_filtered_lt105bp.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR20458000_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/adapter_removal/SRR20458000_1_filtered_lt105bp.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR20458000_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc/SRR20458000_1_filtered_lt105bp.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR21031366_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc/SRR21031366_1_filtered_lt105bp.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR20755928_1_filtered_lt105bp	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/fastqc/SRR20755928_1_filtered_lt105bp.fastq_L1.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0004	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/flagstat/ancient0004_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0002	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/flagstat/ancient0002_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0004	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/flagstat_filtered/ancient0004_postfilterflagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0002	/project/rcrs_a234_lt105bp_20240905/work/eb/b287faeb56d423ef252f9c9812ca79/flagstat_filtered/ancient0002_postfilterflagstat.stats
