Sample	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	QualiMap_mqc-generalstats-qualimap-5_x_pc	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	DamageProfiler_mqc-generalstats-damageprofiler-median	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	QualiMap_mqc-generalstats-qualimap-1_x_pc	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	mtnucratio_mqc-generalstats-mtnucratio-mtreads	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	QualiMap_mqc-generalstats-qualimap-mapped_reads	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-4_x_pc	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	QualiMap_mqc-generalstats-qualimap-avg_gc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	QualiMap_mqc-generalstats-qualimap-general_error_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-3_x_pc	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-total_reads	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	DamageProfiler_mqc-generalstats-damageprofiler-std	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	QualiMap_mqc-generalstats-qualimap-2_x_pc	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	mtnucratio_mqc-generalstats-mtnucratio-nucreads	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2
SRR20458000_1_filtered_lt120bp		37.15882145456848									1497983.0		98.4651361197023	0.30307420044152705						98.16012598273812							0.0				48.0	1516464.0	47.0			73.2231625676574		10.0				2949982				72.25940347787659		72			33.30466664743345						72					
SRR20458000_2_filtered_lt120bp		34.612815116956895									1497983.0																0.0						48.0													72.25940347787659											72					
SRR20755928_1_filtered_lt120bp		34.00670204663457									5411828.0		97.42453012179988	0.39622471371965257						97.02743693997665							0.0				42.0	5529812.0	42.0			74.85080396946587		0.0				10544896				73.40269092070184		77			27.71599971692025						76					
SRR20755928_2_filtered_lt120bp		29.848169691633643									5411828.0																0.0						42.0													73.40269092070184											76					
SRR21031366_1_filtered_lt120bp		40.874053405341336									1314185.0		98.0348276688594	0.24075757979279935						97.7925482333157							0.0				43.0	1336867.0	43.0			73.82738821438483		10.0				2576718				72.61513561637061		72			33.89212763499509						72					
SRR21031366_2_filtered_lt120bp		38.314635093478365									1314185.0																0.0						43.0													72.61513561637061											72					
ancient0002	0		N/A		0.0	4	0.018045748083770897	0.0	1336867			76.0			N/A	1.5691954855452954	100.0		N/A		N/A	N/A	0.0	0	0.0	4.0		0	0.0	0.0				N/A	48.666666666666664				0.33	0.0	0.0		0.000299		4		0.0		74.75	4		0.000299	0.018	4.0	N/A	27.63408867943463		0.2353793228317943	nan	4	N/A	0.0
ancient0002_lt120bp				0.0						0.0								0.0																			0.0							0.0																		
ancient0003	0		N/A		0.0	30	0.1251131631359768	0.0	5529813			80.0			N/A	9.904037660691653	100.0		N/A		N/A	N/A	0.0	0	0.0	27.0		0	0.0	0.0				N/A	44.37037037037037				0.88	0.068966	0.0		0.000543		30		0.0		74.49019607843137	30		0.000543	0.1032	27.0	N/A	28.54566345280461		0.416440340394713	nan	28	N/A	0.0
ancient0003_lt120bp				0.0						0.0								0.0																			0.0							0.0																		
ancient0004	0		N/A		0.0	2	0.012976039592009174	0.0	1516464			107.5			N/A	0.6156074597139236	100.0		N/A		N/A	N/A	0.0	0	0.0	2.0		0	0.0	0.0				N/A	41.5				2.94	0.0	0.0		0.000132		2		0.0		107.5	2		0.000132	0.0062	2.0	N/A	45.610671265980436		0.0	nan	2	N/A	0.0
ancient0004_lt120bp				0.0						0.0								0.0																			0.0							0.0																		
