z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.02265	0.00647	0.00971	0.96117	0.01754	0.00000	0.00439	0.97807	
1	0.01875	0.00000	0.025	0.95625	0.0121	0.00000	0.00806	0.97984	
2	0.00858	0.00429	0.00000	0.98712	0.01255	0.01255	0.00000	0.9749	
3	0.00000	0.00000	0.00377	0.99623	0.00444	0.00000	0.00000	0.99556	
4	0.00733	0.00000	0.00366	0.98901	0.00000	0.00439	0.00000	0.99561	
5	0.01282	0.00000	0.00427	0.98291	0.0131	0.00437	0.00000	0.98253	
6	0.00000	0.00405	0.0081	0.98785	0.00433	0.00000	0.00000	0.99567	
7	0.01145	0.00000	0.01145	0.9771	0.01316	0.00000	0.00000	0.98684	
8	0.02016	0.00403	0.0121	0.96371	0.0083	0.00000	0.00000	0.9917	
9	0.01569	0.00000	0.00000	0.98431	0.00398	0.00000	0.00000	0.99602	
