z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.0303	0.00000	0.00000	0.9697	0.00000	0.00000	0.00000	1.0	
1	0.00000	0.00000	0.00000	1.0	0.03226	0.00000	0.03226	0.93548	
2	0.02941	0.02941	0.02941	0.91176	0.00000	0.03226	0.00000	0.96774	
3	0.00000	0.02564	0.05128	0.92308	0.00000	0.02941	0.02941	0.94118	
4	0.04545	0.00000	0.04545	0.90909	0.04	0.00000	0.04	0.92	
5	0.00000	0.00000	0.00000	1.0	0.00000	0.0303	0.00000	0.9697	
6	0.00000	0.02703	0.00000	0.97297	0.00000	0.00000	0.00000	1.0	
7	0.02857	0.00000	0.00000	0.97143	0.00000	0.00000	0.00000	1.0	
8	0.00000	0.00000	0.03226	0.96774	0.00000	0.00000	0.00000	1.0	
9	0.00000	0.00000	0.00000	1.0	0.03333	0.00000	0.00000	0.96667	
