Sample	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	QualiMap_mqc-generalstats-qualimap-total_reads	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	QualiMap_mqc-generalstats-qualimap-1_x_pc	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	QualiMap_mqc-generalstats-qualimap-median_coverage	DamageProfiler_mqc-generalstats-damageprofiler-std	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	QualiMap_mqc-generalstats-qualimap-mapped_reads	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	QualiMap_mqc-generalstats-qualimap-4_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	QualiMap_mqc-generalstats-qualimap-2_x_pc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-general_error_rate	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	QualiMap_mqc-generalstats-qualimap-mean_coverage	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	mtnucratio_mqc-generalstats-mtnucratio-mtreads	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	DamageProfiler_mqc-generalstats-damageprofiler-median	mtnucratio_mqc-generalstats-mtnucratio-nucreads	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate
Momia1_S1_L001_R1_001			151					12.12768391585793			511731.0				39.0					29.633384215568793				10.217807219808327					50.54539701328114	162.9310594824234				345034	1.3896462679912247	149.04954132741108								27.27272727272727				40.0		154					341311.0			9.090909090909092				
Momia1_S1_L001_R2_001			151					2.2579986971688584																												149.18007330557762								9.090909090909092				41.0							341311.0							
Momia3_S2_L001_R1_001			151					11.335477738373882			336185.0				63.0					84.11911122457353				6.854244355498014					92.55797980166365	166.89358835165163				609100	4.827952200196663	140.89751000647342								18.181818181818183				62.0		154					329037.0			9.090909090909092				
Momia3_S2_L001_R2_001			151					4.476392171269225																												141.65172001932913								9.090909090909092				63.0							329037.0							
Momia5_S3_L001_R1_001			151					3.093537320160081			412831.0				62.0					75.9295840971891				0.9024110694178309					82.11111473089078	177.0872439327473				554498	2.2650196809360637	145.6116670763599								9.090909090909092				62.0		154					337651.0			9.090909090909092				
Momia5_S3_L001_R2_001			151					2.2039755966106895																												145.84397203029164								9.090909090909092				63.0							337651.0							
Momia6_S4_L001_R1_001			151					12.2408599281911			87871.0				60.0					79.4733273307322				11.424950812018542					92.78353953379798	170.11647756370132				166938	1.186967258822591	142.79099832149487								18.181818181818183				59.0		154					89961.0			9.090909090909092				
Momia6_S4_L001_R2_001			151					1.4139460432854207																												143.12402040884382								9.090909090909092				59.0							89961.0							
m0mia6				0.0						0.0				0.0		0.0																														0.0																
momia1	0.0	0.0		0.0	1.0	1	1.080330738125415		0.0	0.0		N/A	0.01080330738125415	0.0		0.0	179.0	0	0.0		100.0	1	0.0		nan	N/A	1.0	N/A			0.0	0.0	N/A				N/A	0.0	N/A	0	0.0	0.0	2.23		N/A	0.0	0.000195		0.000195		0.0108	511731	0	0.0		42.0	1		179.0	1	0.0	N/A
momia3	0.0	0.0		0.0	9.0	11	9.228076528456757		0.0	0.0		N/A	0.09228076528456756	0.0		0.0	169.88888888888889	0	50.221730577731215		100.0	11	0.0		nan	N/A	9.0	N/A			0.0	0.0	N/A				N/A	0.0	N/A	0	0.0	0.0	0.38999999999999996		N/A	0.0	0.003272		0.003272		0.0924	336185	0	0.181818		49.11111111111111	11		162.0	9	0.0	N/A
momia5	0.0	0.14		33.0	510.0	563	59.852737039048826		0.0	33.0		N/A	5.543183052688756	0.0		0.0	180.77717391304347	4	49.43018792459592		100.0	563	0.0		nan	N/A	510.0	N/A			50.787615426398695	49.59864807773553	N/A				N/A	52.743074416078215	N/A	0	0.0	51.74120345223007	0.5		N/A	0.0	0.136371		0.136371		5.4732	412843	0	0.07441		44.864999999999995	563		158.0	522	0.009259259259259259	N/A
momia6	0.0	0.0			3.0	3	2.510712776872473		0.0			N/A	0.02558995714889251				141.33333333333334	0	13.456101466125569		100.0	3	0.0		nan	N/A	3.0	N/A			0.0	0.0	N/A				N/A	0.04828293801677832	N/A	0	0.0	0.0	0.7100000000000001		N/A		0.003414		0.003414		0.0256	87871	0	0.0		47.0	3		149.0	3	0.0	N/A
