Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR20458000_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR20458000_1_filtered_lt120bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR21031366_1_filtered_lt120bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_2_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR21031366_2_filtered_lt120bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20458000_2_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR20458000_2_filtered_lt120bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_2_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR20755928_2_filtered_lt120bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc_raw/SRR20755928_1_filtered_lt120bp_raw_fastqc.zip
Adapter Removal	all_sections	SRR20755928_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/adapter_removal/SRR20755928_1_filtered_lt120bp.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR21031366_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/adapter_removal/SRR21031366_1_filtered_lt120bp.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR20458000_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/adapter_removal/SRR20458000_1_filtered_lt120bp.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR21031366_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc/SRR21031366_1_filtered_lt120bp.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR20458000_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc/SRR20458000_1_filtered_lt120bp.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR20755928_1_filtered_lt120bp	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/fastqc/SRR20755928_1_filtered_lt120bp.fastq_L1.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0004	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat/ancient0004_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0002	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat/ancient0002_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0004	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat_filtered/ancient0004_postfilterflagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0002	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat_filtered/ancient0002_postfilterflagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0003	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/flagstat_filtered/ancient0003_postfilterflagstat.stats
Picard	DuplicationMetrics	ancient0002	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/markdup/ancient0002_rmdup.metrics
Picard	DuplicationMetrics	ancient0003	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/markdup/ancient0003_rmdup.metrics
Picard	DuplicationMetrics	ancient0004	/project/rcrs_a234_lt120bp_20240905/work/9b/642b9bbc38b561fa32664ba251e416/markdup/ancient0004_rmdup.metrics
