Sample	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-median	QualiMap_mqc-generalstats-qualimap-median_coverage	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	QualiMap_mqc-generalstats-qualimap-2_x_pc	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	QualiMap_mqc-generalstats-qualimap-total_reads	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-5_x_pc	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	DamageProfiler_mqc-generalstats-damageprofiler-std	QualiMap_mqc-generalstats-qualimap-4_x_pc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	mtnucratio_mqc-generalstats-mtnucratio-nucreads	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	QualiMap_mqc-generalstats-qualimap-general_error_rate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	QualiMap_mqc-generalstats-qualimap-3_x_pc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	mtnucratio_mqc-generalstats-mtnucratio-mtreads	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	QualiMap_mqc-generalstats-qualimap-mapped_reads	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	QualiMap_mqc-generalstats-qualimap-avg_gc	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate
SRR20458000_1_filtered_lt130bp	77	0.2755245587055444								47.0	78.33845524630911				1647766.0			78			0.0	1677303.0						97.65640266882555		97.93660022114791				39.41106431779754		10.0					77.05205229383299				47.0		35.671659555759504				3227532											
SRR20458000_2_filtered_lt130bp															1647766.0			78			0.0													36.623126380397395							77.05205229383299				47.0																	
SRR20755928_1_filtered_lt130bp	82	0.35690205091767085								42.0	80.4851125098683				6008091.0			82			0.0	6196612.0						96.14841053506014		96.50702694083695				36.15292671455418		0.0					78.5209298594179				42.0		30.14943187728143				11596460											
SRR20755928_2_filtered_lt130bp															6008091.0			82			0.0													31.426615799935945							78.5209298594179				42.0																	
SRR21031366_1_filtered_lt130bp	82	0.21683485531207702								43.0	79.40009971624372				1459175.0			78			0.0	1494240.0						97.16326006133603		97.38454948858087				42.83703394742222		10.0					77.82231055219559				42.0		35.693516172120596				2842022											
SRR21031366_2_filtered_lt130bp															1459175.0			78			0.0													40.087648679570385							77.82231055219559				43.0																	
ancient0002			5	77.0	0	0.0	N/A	nan	0.0			0.02577101816645543	N/A	0.6819964994869938		0.000335	5.0		0.0258	0.0			33.13675367993135	0.0	N/A	5	5		N/A		0.0	0.7000000000000001	N/A		0.0		0.2353793228317943	0					1494240	N/A		1.6597259943267548		0.0	100.0	0		5.0		5	85.4	0.0	N/A	0.000335	50.75	0.0		N/A
ancient0002_lt130bp																																							0.0	0.0		0.0											0.0								0.0	
ancient0003			41	89.0	0	0.0	N/A	nan	0.175			0.16953346611141287	N/A	0.7423501720079667		0.000662	33.0		0.1375	0.0			32.17693022508016	0.0	N/A	34	41		N/A		0.0	1.67	N/A		0.0		0.0	0					6196613	N/A		12.994145693765466		0.0	100.0	0		33.0		41	83.66666666666666	0.0	N/A	0.000662	44.757575757575765	0.0		N/A
ancient0003_lt130bp																																							0.0	0.0		0.0											0.0								0.0	
ancient0004			3	129.0	0	0.0	N/A	nan	0.0			0.020761663347214677	N/A	0.0		0.000179	3.0		0.0135	0.0			37.033318331830145	0.0	N/A	3	3		N/A		0.0	1.79	N/A		0.0		0.0	0					1677303	N/A		1.3458868972176956		0.0	100.0	0		3.0		3	114.66666666666667	0.0	N/A	0.000179	42.0	0.0		N/A
ancient0004_lt130bp																																							0.0	0.0		0.0											0.0								0.0	
