Sample	Duplicate Reads	Unique Reads
SRR1313909_1	19064802.0	1523266.0
SRR1313909_2	18377538.0	2210530.0
SRR1314212_1	17197163.0	5256619.0
SRR1314212_2	16328742.0	6125040.0
SRR1314213_1	13508956.0	1154964.0
SRR1314213_2	11330672.0	3333248.0
SRR1314214_1	16329908.0	2400469.0
SRR1314214_2	15287969.0	3442408.0
SRR1314599_1	13230330.0	1604793.0
SRR1314599_2	11826360.0	3008763.0
SRR1314600_1	17082436.0	1491858.0
SRR1314600_2	16182139.0	2392155.0
SRR1314601_1	14876682.0	2778510.0
SRR1314601_2	13527551.0	4127641.0
