Sample	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	QualiMap_mqc-generalstats-qualimap-5_x_pc	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	QualiMap_mqc-generalstats-qualimap-mapped_reads	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	QualiMap_mqc-generalstats-qualimap-mean_coverage	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	QualiMap_mqc-generalstats-qualimap-4_x_pc	QualiMap_mqc-generalstats-qualimap-2_x_pc	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	QualiMap_mqc-generalstats-qualimap-general_error_rate	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	QualiMap_mqc-generalstats-qualimap-median_coverage	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	DamageProfiler_mqc-generalstats-damageprofiler-median	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	QualiMap_mqc-generalstats-qualimap-3_x_pc	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	QualiMap_mqc-generalstats-qualimap-total_reads	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	DamageProfiler_mqc-generalstats-damageprofiler-std	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	QualiMap_mqc-generalstats-qualimap-1_x_pc	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct
SRR1313909			3702.0		0.013235101321443949			100.0	0.0			245416.0	0.988838	22149418		0.0105	80.525743	0.018852250518790636	0.09885393369372887	0.033435338232441866	27506009	0.018184935421190995		83.29284352549992		22149418	2.27	0.0	0	80.525743		84.0	3702.0	0.03619518617287147		245416.0		44.46857282204475	35.33867206520593	0.012536772463786105			0.4638445102330473	2.42	0.03739404860654253		22149418	80.53
SRR1313909_1	48.0	102		18.181818181818183		101.0	101			72.72893211737983	114.3692605193601				1.8667657402336149								48.0		20588068.0						18.181818181818183				63.45843135936796		27342609.0				89.7536846021929	92.60122342024766				29946964		
SRR1313909_2	49.0					101.0	101																		20588068.0						18.181818181818183											89.2630538051462						
SRR1314212					0.03105317971467578			100.0				679940.0	0.943314	12195989		0.0226	47.880348	0.048901176174262075	0.27537120221028843	0.018395009200267442	25471805	0.014219644781287457		87.86566225942406		12195989	1.8900000000000001		0	47.880348		88.0		0.09914595723364132		679940.0		46.50740484037513	36.54268662638515	0.013112487260026583			1.2639860758172632		0.021948585465017788		12195989	47.88
SRR1314212_1	51.0	102		18.181818181818183		101.0	101			86.79195335556389	110.43179639324558				2.6781613003991933								50.0		22453782.0						18.181818181818183				82.09803586763246		25270753.0				75.98199412582107	76.58916082993099				38976152		
SRR1314212_2	51.0					101.0	101																		22453782.0						18.181818181818183											72.72156708858483						
SRR1314213								100.0					0.975009	8586464			40.588366			0.015573339564226883	21154988	0.015202653973748738		80.64724973328448		8586464				40.588366		83.0							32.94602491542136	0.030736891276421815					0.012553321145642901		8586464	40.59
SRR1314213_1	45.0	102		18.181818181818183		101.0	101			55.88245844221736	112.54783003914795				7.136938826725732								44.0		14663920.0						18.181818181818183				42.795698558093605		20959203.0				90.86845725205733	92.12377550932788				16389118		
SRR1314213_2	46.0					101.0	101																		14663920.0						27.27272727272727											77.26905899353426						
SRR1314214								100.0					0.957546	17129373			73.166738			0.028549712818925734	23411421	0.026078787433477836		86.88089865759956		17129373				73.166738		92.0							34.96399404196692	0.019470945579644426					0.03478959652916665		17129373	73.17
SRR1314214_1	49.0	102		18.181818181818183		101.0	101			77.51381619280808	112.24877415678105				3.0635608669275585								48.0		18730377.0						27.27272727272727				70.66130596303535		23077992.0				83.90855167542955	87.18408660241326				29037260		
SRR1314214_2	50.0					101.0	101																		18730377.0						27.27272727272727											81.62126105244232						
SRR1314242			7765.0						0.0																			0.0					7765.0											2.34				
SRR1314243			15205.0		0.0611362467842306				0.0			922741.0				0.0379		0.09943665896243252	0.46197443765011925								2.27	0.0	0				15205.0	0.19138806274162443		922741.0		43.782686945500636					1.6324343490533302	2.74				
SRR1314599			929.0		0.0063174189379559135			100.0	0.0			133133.0	0.945395	2468407		0.0033	15.932747	0.008519427308799402	0.027490479632025607	0.014801008661330994	15492664	0.01615397269287712		71.66109282345627		2468407	1.8900000000000001	0.0	0	15.932747		60.0	929.0	0.013264987148502773		133133.0		48.20032294832824	34.56822453429428	0.011761043273720987			0.170941192181859	2.33	0.024950806768988587		2468407	15.93
SRR1314599_1	57.0	92		9.090909090909092		101.0	101			87.35636367827891	92.47977672260028				5.766639076737011								58.0		14835123.0						18.181818181818183				84.23853310821892		15462380.0				90.93588276913437	89.1824815263152				25918848		
SRR1314599_2	58.0					101.0	101																		14835123.0						27.27272727272727											79.71865316424109						
