Sample	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate	QualiMap_mqc-generalstats-qualimap-mean_coverage	mtnucratio_mqc-generalstats-mtnucratio-nucreads	mapDamage_mqc-generalstats-mapdamage-mapdamage_5_Prime1	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	QualiMap_mqc-generalstats-qualimap-avg_gc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	mapDamage_mqc-generalstats-mapdamage-mapdamage_3_Prime1	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-3_x_pc	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	QualiMap_mqc-generalstats-qualimap-4_x_pc	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	QualiMap_mqc-generalstats-qualimap-5_x_pc	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	mtnucratio_mqc-generalstats-mtnucratio-mtreads	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	QualiMap_mqc-generalstats-qualimap-1_x_pc	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	mapDamage_mqc-generalstats-mapdamage-mapdamage_5_Prime2	mapDamage_mqc-generalstats-mapdamage-mapdamage_3_Prime2	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-2_x_pc	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	QualiMap_mqc-generalstats-qualimap-mapped_reads
Momia1_S1_L001_R1_001								341311.0	9.090909090909092	511731.0			27.27272727272727	154	162.9310594824234							40.0			149.04954132741108				345034	29.633384215568793		10.217807219808327				39.0		50.54539701328114					12.12768391585793			1.3885934443038082							151	
Momia1_S1_L001_R2_001								341311.0					9.090909090909092									41.0			149.18007330557762																		2.2579986971688584										151	
Momia3_S2_L001_R1_001								329037.0	9.090909090909092	336185.0			18.181818181818183	154	166.89358835165163							62.0			140.89751000647342				609100	84.11911122457353		6.854244355498014				63.0		92.55797980166365					11.335477738373882			4.8276395221162005							151	
Momia3_S2_L001_R2_001								329037.0					9.090909090909092									63.0			141.65172001932913																		4.476392171269225										151	
Momia5_S3_L001_R1_001								337651.0	9.090909090909092	412831.0			9.090909090909092	154	177.0872439327473							62.0			145.6116670763599				554498	75.9295840971891		0.9024110694178309				62.0		82.11111473089078					3.093537320160081			2.2648156819545733							151	
Momia5_S3_L001_R2_001								337651.0					9.090909090909092									63.0			145.84397203029164																		2.2039755966106895										151	
Momia6_S4_L001_R1_001								89961.0	9.090909090909092	87871.0			18.181818181818183	154	170.11647756370132							59.0			142.79099832149487				166938	79.4733273307322		11.424950812018542				60.0		92.78353953379798					12.2408599281911			1.186967258822591							151	
Momia6_S4_L001_R2_001								89961.0					9.090909090909092									59.0			143.12402040884382																		1.4139460432854207										151	
momia1	N/A	N/A	0.0002	8937	0.00519031141868512	N/A	N/A				7014.0	1.8800000000000001				0.00039854737776817245	N/A	N/A	1.81484	34.85388127853881	0		0.00719424460431655	9322		0.052034	0.0004973995251838133	513654			0.0002883620439469555		N/A	0.00020061791602037324	100.0		N/A		0	1.81	0.015942204795884284	9322		9322	0.0		nan	0.00284090909090909	0.00194363459669582	1.81484	0	0.0011096728884362147		7014.0
momia3	N/A	N/A	0.0004	7485	0.000969932104752667	N/A	N/A				7320.0	0.88				0.00040390493099098376	N/A	N/A	2.453397	50.39804364183597	0		0.00248015873015873	8252		0.094844	8.929255371352197e-05	336350			6.222736131263869e-05		N/A	4.174297850624907e-05	100.0		N/A		0	2.45	0.03347319122578037	8252		8252	0.0		nan	0.00222345747637576	0.00360638845955693	2.453397	0	0.0009611530483722496		7320.0
momia5	N/A	N/A	0.0008	15729	0.00310734463276836	N/A	N/A				15388.0	0.8500000000000001				0.0008636296438350264	N/A	N/A	3.911204	46.42314780685587	0		0.00203784570596798	16160		0.027246	0.0004336882558253574	413172			0.0003425892053604058		N/A	0.00030139462765369786	100.0		N/A		0	3.91	0.07603141590885319	16160		16160	0.0		nan	0.00124146492861577	0.00085397096498719	3.911204	0	0.001306322963377555		15388.0
momia6	N/A	N/A	0.0002	3620	0.00111482720178372	N/A	N/A				3542.0	0.77				0.00020200633780932916	N/A	N/A	4.195613	44.957446808510646	0		0.00240384615384615	3690		0.01938	4.148490754175912e-05	87949			3.3420189901448254e-05		N/A	2.6516791601342146e-05	100.0		N/A		0	4.2	0.018454945000511223	3690		3690	0.0		nan	0.0	0.00251256281407035	4.195613	0	0.00015900397299636914		3542.0
