Sample	DamageProfiler_mqc-generalstats-damageprofiler-median	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-flagstat_total	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-median_sequence_length	mtnucratio_mqc-generalstats-mtnucratio-mt_nuc_ratio	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_gc	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime1	QualiMap_mqc-generalstats-qualimap-5_x_pc	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed_pct	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_estimate	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime1	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-total_sequences	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_duplicates	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_SE	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-total_reads	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Num_SNPs	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_fails	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_SE	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_fails	DamageProfiler_mqc-generalstats-damageprofiler-3_Prime2	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed_pct	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-median_sequence_length	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_estimate	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-total_sequences	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_ML_estimate	QualiMap_mqc-generalstats-qualimap-general_error_rate	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_MOM_SE	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-avg_sequence_length	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method1_ML_estimate	QualiMap_mqc-generalstats-qualimap-2_x_pc	mtnucratio_mqc-generalstats-mtnucratio-nuc_cov_avg	FastQC (pre-Trimming)_mqc-generalstats-fastqc_pre_trimming-percent_duplicates	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-mapped_passed	Samtools Flagstat (pre-samtools filter)_mqc-generalstats-samtools_flagstat_pre_samtools_filter-mapped_passed	Samtools Flagstat (post-samtools filter)_mqc-generalstats-samtools_flagstat_post_samtools_filter-flagstat_total	mtnucratio_mqc-generalstats-mtnucratio-mtreads	QualiMap_mqc-generalstats-qualimap-median_coverage	DamageProfiler_mqc-generalstats-damageprofiler-std	QualiMap_mqc-generalstats-qualimap-3_x_pc	mtnucratio_mqc-generalstats-mtnucratio-nucreads	base endorSpy_mqc-generalstats-base_endorspy-endogenous_dna_post	Adapter Removal_mqc-generalstats-adapter_removal-percent_aligned	Adapter Removal_mqc-generalstats-adapter_removal-aligned_total	Adapter Removal_mqc-generalstats-adapter_removal-percent_collapsed	mtnucratio_mqc-generalstats-mtnucratio-mt_cov_avg	QualiMap_mqc-generalstats-qualimap-mapped_reads	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	base nuclear_contamination_mqc-generalstats-base_nuclear_contamination-Method2_MOM_SE	Adapter Removal_mqc-generalstats-adapter_removal-percent_discarded	DamageProfiler_mqc-generalstats-damageprofiler-5_Prime2	QualiMap_mqc-generalstats-qualimap-mean_coverage	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-avg_sequence_length	DamageProfiler_mqc-generalstats-damageprofiler-mean_readlength	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-4_x_pc	FastQC (post-Trimming)_mqc-generalstats-fastqc_post_trimming-percent_gc	QualiMap_mqc-generalstats-qualimap-avg_gc
SRR1313909	57.0	27397800		0.0		0.0036489773853500317	100.0	100.0	N/A	0.0	0.003647991352909386	60.614962			0.0	N/A	0.999049	15745.0	0		N/A		0.002700918312226157	60.61		N/A		N/A	1.16	N/A		N/A	100.0	304.4313476975074		48.0	16607166	16607166	16607166	0	112	34.14300657854117	100.0	70936	60.614962				nan	15745.0	48.0	N/A		0.003677402992645194	301.1331		71.28718776310721	5.86	100.0	100.0		45.08921001926782
SRR1313909_1			102		48.0								27342609.0	89.75024751964912						18.181818181818183		18.181818181818183			101		20588068.0				101.0				92.60122342024766											72.72893211737983	29946964	63.45843135936796					1.8667657402336149			114.3692605193601					48.0	
SRR1313909_2					49.0															18.181818181818183					101		20588068.0				101.0				89.2630538051462																											
SRR1314212	100.0	25271051		0.0		0.011241970021413276	99.9939646327479	100.0	N/A		0.028137310073157007	1.918998				N/A	0.985889	6839.0	0		N/A		0.0164257555847569	1.92		N/A		N/A	1.39	N/A		N/A	100.0	41.79322831794315			484951	484951	484951	0	39	36.91231856545389	99.9939646327479	7137	1.918998				nan	6839.0		N/A		0.02298136645962733	40.2904		97.61077603538368		100.0	99.9939646327479		45.885647607934644
SRR1314212_1			102		51.0								25270753.0	75.98996280082969						18.181818181818183		18.181818181818183			101		22453782.0				101.0				76.58916082993099											86.79195335556389	38976152	82.09803586763246					2.6781613003991933			110.43179639324558					50.0	
SRR1314212_2					51.0															18.181818181818183					101		22453782.0				101.0				72.72156708858483																											
SRR1314213	91.0	20959224		0.0		0.008686210640608035		100.0	N/A		0.021341463414634148	0.72997				N/A	0.95579		0		N/A		0.012170385395537525	0.73		N/A		N/A		N/A		N/A		36.81646448186372			152996	152996	152996	0		36.555108831139414		6784	0.72997				nan			N/A		0.0204369274136716			90.84494160686538					
SRR1314213_1			102		45.0								20959203.0	90.87963602348769						18.181818181818183		18.181818181818183			101		14663920.0				101.0				92.12377550932788											55.88245844221736	16389118	42.795698558093605					7.136938826725732			112.54783003914795					44.0	
SRR1314213_2					46.0															27.27272727272727					101		14663920.0				101.0				77.26905899353426																											
SRR1314214	70.0	23098135		0.0		0.004367493370768991		100.0	N/A		0.00635708194433677	15.039781				N/A	0.99696		0		N/A		0.0024242424242424242	15.04		N/A		N/A		N/A		N/A		143.02251191985033			3473909	3473909	3473909	0		34.248142643407014		30641	15.039781				nan			N/A		0.015231788079470199			77.68583885032227					
SRR1314214_1			102		49.0								23077992.0	83.90160471565892						27.27272727272727		18.181818181818183			101		18730377.0				101.0				87.18408660241326											77.51381619280808	29037260	70.66130596303535					3.0635608669275585			112.24877415678105					48.0	
SRR1314214_2					50.0															27.27272727272727					101		18730377.0				101.0				81.62126105244232																											
SRR1314242										0.0					0.0																					64.0															64.0							15.0				
SRR1314243							99.9939646327479			0.0					0.0			17261.0											0.8999999999999999				100.0			60.0					100		100.0							17261.0	60.0				176.0283			29.0	100.0	100.0		44.41960281870596
SRR1314599	92.0	15462418		0.0		0.006993006993006993	99.89739875671435	100.0	N/A	0.0	0.024390243902439025	0.258989			0.0	N/A	0.854204	5833.0	0		N/A		0.007267441860465116	0.26		N/A		N/A	1.73	N/A		N/A	99.9939646327479	31.827569557607582		40.0	40046	40046	40046	0	29	36.70349382854891	99.9939646327479	5871	0.258989				nan	5833.0	40.0	N/A		0.026058631921824105	30.157		90.89358953657461	19.0	100.0	99.98792926549581		46.1919191919192
SRR1314599_1			92		57.0								15462380.0	90.93252068442732						18.181818181818183		9.090909090909092			101		14835123.0				101.0				89.1824815263152											87.35636367827891	25918848	84.23853310821892					5.766639076737011			92.47977672260028					58.0	
SRR1314599_2					58.0															27.27272727272727					101		14835123.0				101.0				79.71865316424109																											
SRR1314600	100.0	19850072		0.0		0.010734463276836158	99.9939646327479	100.0	N/A	0.0	0.02599090318388564	0.814365			0.0	N/A	0.963464	5902.0	0		N/A		0.009893992932862191	0.81		N/A		N/A	1.32	N/A		N/A	99.9939646327479	34.95008751282516		54.0	161652	161652	161652	0	33	36.80860793644148	99.9939646327479	6015	0.814365				nan	5902.0	54.0	N/A		0.02263540824575586	33.9963		97.00110427512307	26.0	100.0	99.9939646327479		45.67957276368491
SRR1314600_1			102		55.0								19849959.0	93.5089108722479						18.181818181818183		18.181818181818183			101		18574294.0				101.0				91.96815958633132											90.43078030314369	33593758	87.49310740962753					2.819493435389792			104.8621194633198					54.0	
