Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	cleaned_Momia3_R1_no_empty_final.paired	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/fastqc_raw/cleaned_Momia3_R1_no_empty_final.paired_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	cleaned_Momia3_R2_no_empty_final.paired	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/fastqc_raw/cleaned_Momia3_R2_no_empty_final.paired_raw_fastqc.zip
Adapter Removal	all_sections	cleaned_Momia3_R1_no_empty_final.paired_L0	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/adapter_removal/cleaned_Momia3_R1_no_empty_final.paired_L0.pe.settings
FastQC (post-Trimming)	all_sections	cleaned_Momia3_R1_no_empty_final.paired_L0	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/fastqc/cleaned_Momia3_R1_no_empty_final.paired_L0.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/flagstat/cleaned_flagstat.stats
Picard	DuplicationMetrics	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/markdup/cleaned_rmdup.metrics
Preseq	all_sections	cleaned_PE	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/preseq/cleaned_PE.mapped.preseq
DamageProfiler	all_sections	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/damageprofiler/dmgprof8/dmgprof.json
QualiMap	genome_results	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/qualimap/qualimap8/cleaned_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/qualimap/qualimap8/cleaned_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	cleaned	/working/momia03/work/c1/66fc2dae834defd2951743aa70d425/qualimap/qualimap8/cleaned_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
