Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	momia_R1	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/fastqc_raw/momia_R1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	momia_R2	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/fastqc_raw/momia_R2_raw_fastqc.zip
Adapter Removal	all_sections	momia_R1_L0	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/adapter_removal/momia_R1_L0.pe.settings
FastQC (post-Trimming)	all_sections	momia_R1_L0	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/fastqc/momia_R1_L0.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/flagstat/momia_flagstat.stats
Picard	DuplicationMetrics	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/markdup/momia_rmdup.metrics
Preseq	all_sections	momia_PE	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/preseq/momia_PE.mapped.preseq
DamageProfiler	all_sections	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/damageprofiler/dmgprof8/dmgprof.json
QualiMap	genome_results	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/qualimap/qualimap8/momia_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/qualimap/qualimap8/momia_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	momia	/working/momia03/work/e4/f0f172dd181b303f27256cc0ab3e8f/qualimap/qualimap8/momia_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
