Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR20458000_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR20458000_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR20755928_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_2	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR20755928_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR21031366_1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20458000_2	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR20458000_2_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR21031366_2	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc_raw/SRR21031366_2_raw_fastqc.zip
Adapter Removal	all_sections	SRR20458000_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/adapter_removal/SRR20458000_1.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR20755928_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/adapter_removal/SRR20755928_1.fastq_L1.pe.settings
Adapter Removal	all_sections	SRR21031366_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/adapter_removal/SRR21031366_1.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR20755928_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc/SRR20755928_1.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR21031366_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc/SRR21031366_1.fastq_L1.pe.combined_fastqc.zip
FastQC (post-Trimming)	all_sections	SRR20458000_1	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/fastqc/SRR20458000_1.fastq_L1.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0004	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat/ancient0004_flagstat.stats
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0002	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat/ancient0002_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0002	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat_filtered/ancient0002_postfilterflagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0004	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat_filtered/ancient0004_postfilterflagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0003	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/flagstat_filtered/ancient0003_postfilterflagstat.stats
Picard	DuplicationMetrics	ancient0004	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/markdup/ancient0004_rmdup.metrics
Picard	DuplicationMetrics	ancient0002	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/markdup/ancient0002_rmdup.metrics
Picard	DuplicationMetrics	ancient0003	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/markdup/ancient0003_rmdup.metrics
Preseq	all_sections	ancient0003	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/preseq/ancient0003.filtered.preseq
Preseq	all_sections	ancient0002	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/preseq/ancient0002.filtered.preseq
Preseq	all_sections	ancient0004	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/preseq/ancient0004.filtered.preseq
mapDamage	all_sections	ancient0004	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/mapdamage/results_ancient0004_rmdup/5pCtoT_freq.txt
mapDamage	all_sections	ancient0003	/20tb/2025-01-08-a234-adapterremoval-damageprofile-hg38/work/da/79858bbc8e8d57ed58a16476926031/mapdamage/results_ancient0003_rmdup/5pCtoT_freq.txt
