PC1	PC2	PC3	Population	Sample
-0.0176828	0.00732174	0.0672953	Ancient	ancient0002
-0.0184117	-0.00634697	0.0526261	Ancient	ancient0003
-0.0225712	-0.0542301	-0.00466164	Ancient	ancient0004
-0.00990361	0.0273686	0.00736193	GBR	HG00096
-0.0100415	0.0269983	0.00630077	GBR	HG00097
-0.00985717	0.0271861	0.00733664	GBR	HG00099
-0.00966332	0.0272799	0.00690032	GBR	HG00100
-0.009826	0.0271541	0.00672978	GBR	HG00101
-0.0103658	0.0268244	0.00552437	GBR	HG00102
-0.00977705	0.0271154	0.00650467	GBR	HG00103
-0.00966697	0.0268652	0.00668632	GBR	HG00105
-0.0102119	0.0271515	0.00655006	GBR	HG00106
-0.0102142	0.0268592	0.00690961	GBR	HG00107
-0.00957328	0.0272896	0.00669323	GBR	HG00108
-0.0104061	0.0270124	0.00597166	GBR	HG00109
-0.0102116	0.0266971	0.00576856	GBR	HG00110
-0.0101204	0.0271019	0.00633221	GBR	HG00111
-0.0103841	0.0275704	0.00620292	GBR	HG00112
-0.0100442	0.0269341	0.00626993	GBR	HG00113
-0.00995936	0.0269935	0.00694425	GBR	HG00114
-0.00975161	0.0270372	0.0046354	GBR	HG00115
-0.0103531	0.0273617	0.00590152	GBR	HG00116
-0.0101587	0.027213	0.00629362	GBR	HG00117
-0.0102829	0.0269824	0.00689388	GBR	HG00118
-0.00990929	0.0269575	0.00648697	GBR	HG00119
-0.0102722	0.0277374	0.00688116	GBR	HG00120
-0.0103961	0.0274335	0.00595636	GBR	HG00121
-0.0103482	0.0274613	0.00789664	GBR	HG00122
-0.00979125	0.0273335	0.00652908	GBR	HG00123
-0.0100323	0.0266474	0.00765174	GBR	HG00125
-0.00991445	0.0277976	0.00709645	GBR	HG00126
-0.0103534	0.0273408	0.00605794	GBR	HG00127
-0.00956976	0.0276148	0.00526507	GBR	HG00128
-0.0102337	0.0276098	0.00662236	GBR	HG00129
-0.00958812	0.0273095	0.00533242	GBR	HG00130
-0.00974472	0.0270947	0.00514708	GBR	HG00131
-0.00986117	0.0274785	0.00618651	GBR	HG00132
-0.00989825	0.0273906	0.00576498	GBR	HG00133
-0.0102572	0.0267958	0.00656869	GBR	HG00136
-0.0100366	0.0278488	0.00586971	GBR	HG00137
-0.00995218	0.0278115	0.00643713	GBR	HG00138
-0.0098847	0.0276668	0.00681874	GBR	HG00139
-0.0101921	0.0270794	0.00631975	GBR	HG00140
-0.0100867	0.0277851	0.0062211	GBR	HG00141
-0.0098934	0.0277424	0.0059043	GBR	HG00142
-0.00998918	0.0278707	0.00542637	GBR	HG00143
-0.0101739	0.0267817	0.00532458	GBR	HG00145
-0.0102661	0.0275385	0.00629077	GBR	HG00146
-0.0101531	0.027461	0.00658523	GBR	HG00148
-0.00996976	0.0279967	0.00802424	GBR	HG00149
-0.0103059	0.0266409	0.00685732	GBR	HG00150
-0.0101362	0.02682	0.00574302	GBR	HG00151
-0.0100247	0.0283179	0.00702565	GBR	HG00154
-0.0103547	0.0274	0.0076694	GBR	HG00155
-0.00981767	0.027292	0.0068828	GBR	HG00157
-0.0104782	0.0267793	0.00740575	GBR	HG00158
-0.00984142	0.0269298	0.00672728	GBR	HG00159
-0.0102058	0.0279646	0.00632175	GBR	HG00160
-0.0113204	0.0228054	0.00935091	FIN	HG00171
-0.0115682	0.0230398	0.00795105	FIN	HG00173
-0.0112001	0.0251152	0.00925368	FIN	HG00174
-0.0109034	0.0223213	0.00866025	FIN	HG00176
-0.0113218	0.0224785	0.00858467	FIN	HG00177
-0.0112033	0.0239635	0.0076207	FIN	HG00178
-0.0109165	0.023234	0.00883049	FIN	HG00179
-0.0109467	0.0231454	0.00630266	FIN	HG00180
-0.00981779	0.0233941	0.00531227	FIN	HG00181
-0.0107989	0.0226327	0.00952373	FIN	HG00182
-0.0111929	0.0229455	0.00841466	FIN	HG00183
-0.0110513	0.022719	0.00660038	FIN	HG00185
-0.0110286	0.0235079	0.00842039	FIN	HG00186
-0.0105961	0.0222599	0.00879697	FIN	HG00187
-0.0110473	0.0243301	0.00780097	FIN	HG00188
-0.0108147	0.0235636	0.00789617	FIN	HG00189
-0.0104486	0.0237671	0.00696794	FIN	HG00190
-0.0101464	0.0270496	0.00699616	GBR	HG00231
-0.00988268	0.0284777	0.00548632	GBR	HG00232
-0.00965055	0.0277318	0.0065306	GBR	HG00233
-0.0100373	0.0271856	0.00633833	GBR	HG00234
-0.0102223	0.027146	0.0059115	GBR	HG00235
-0.00950336	0.0278974	0.00735393	GBR	HG00236
-0.00963802	0.0271315	0.00532837	GBR	HG00237
-0.00988284	0.0270291	0.00568751	GBR	HG00238
-0.00951193	0.0280581	0.00677504	GBR	HG00239
-0.0101616	0.0277568	0.00622095	GBR	HG00240
-0.00998109	0.0277367	0.00726873	GBR	HG00242
-0.00983909	0.0276168	0.00547444	GBR	HG00243
-0.00990611	0.0271981	0.00646609	GBR	HG00244
-0.0099933	0.0277416	0.00685581	GBR	HG00245
-0.00994337	0.027111	0.00649322	GBR	HG00246
-0.00999404	0.0273623	0.00654201	GBR	HG00250
-0.0100135	0.0270184	0.00604742	GBR	HG00251
-0.00997379	0.0274645	0.0068792	GBR	HG00252
-0.00987257	0.0279444	0.00695123	GBR	HG00253
-0.0096436	0.0268266	0.00513482	GBR	HG00254
-0.00969854	0.0271889	0.00679081	GBR	HG00255
-0.0103452	0.027677	0.00499581	GBR	HG00256
-0.00976044	0.0269871	0.00673907	GBR	HG00257
-0.0101244	0.0271438	0.00856047	GBR	HG00258
-0.0100363	0.0278645	0.00636085	GBR	HG00259
