Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	SRR20755928_1_filtered_lt130bp	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/fastqc_raw/SRR20755928_1_filtered_lt130bp_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	SRR20755928_2_filtered_lt130bp	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/fastqc_raw/SRR20755928_2_filtered_lt130bp_raw_fastqc.zip
Adapter Removal	all_sections	SRR20755928_1_filtered_lt130bp	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/adapter_removal/SRR20755928_1_filtered_lt130bp.fastq_L1.pe.settings
FastQC (post-Trimming)	all_sections	SRR20755928_1_filtered_lt130bp	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/fastqc/SRR20755928_1_filtered_lt130bp.fastq_L1.pe.combined_fastqc.zip
Kraken	all_sections	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/kraken/ancient0003.unmapped.fastq.kraken2_report
Samtools Flagstat (pre-samtools filter)	flagstat	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/flagstat/ancient0003_flagstat.stats
Samtools Flagstat (post-samtools filter)	flagstat	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/flagstat_filtered/ancient0003_postfilterflagstat.stats
Picard	DuplicationMetrics	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/markdup/ancient0003_rmdup.metrics
Preseq	all_sections	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/preseq/ancient0003.filtered.preseq
DamageProfiler	all_sections	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/damageprofiler/dmgprof8/dmgprof.json
mtnucratio	all_sections	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/mutnucratio/ancient0003_rmdup.bam.mtnucratiomtnuc.json
QualiMap	genome_results	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/qualimap/qualimap8/ancient0003_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/qualimap/qualimap8/ancient0003_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	ancient0003	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/qualimap/qualimap8/ancient0003_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Bcftools	stats	ancient0003.freebayes	/working/srr20755928_eager_lt130bp_2024-08-22/work/f3/6cb90b3de5ff2251c121cfb395461b/bcftools_stats8
