Module	Section	Sample Name	Source
FastQC (pre-Trimming)	all_sections	chr7_R1	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/fastqc_raw/chr7_R1_raw_fastqc.zip
FastQC (pre-Trimming)	all_sections	chr7_R2	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/fastqc_raw/chr7_R2_raw_fastqc.zip
Adapter Removal	all_sections	chr7_R1_L0	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/adapter_removal/chr7_R1_L0.pe.settings
FastQC (post-Trimming)	all_sections	chr7_R1_L0	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/fastqc/chr7_R1_L0.pe.combined_fastqc.zip
Samtools Flagstat (pre-samtools filter)	flagstat	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/flagstat/chr7_flagstat.stats
Picard	DuplicationMetrics	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/markdup/chr7_rmdup.metrics
Preseq	all_sections	chr7_PE	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/preseq/chr7_PE.mapped.preseq
DamageProfiler	all_sections	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/damageprofiler/dmgprof8/dmgprof.json
QualiMap	genome_results	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/qualimap/qualimap8/chr7_rmdup_stats/genome_results.txt
QualiMap	coverage_histogram	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/qualimap/qualimap8/chr7_rmdup_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	chr7	/working/work/80/09f88d25c0346d8ea8a9507fcfb75f/qualimap/qualimap8/chr7_rmdup_stats/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
